Active Material,Degradation time,features_A.1.c_UV,features_A.1.w_UV,features_A.1a.a_UV,features_A.1a.c_UV,features_A_UV,features_Atot_UV,Irrelevant_featu_D.1.c_UV,features_D.1.w_UV,features_D.1a.a_UV,features_D.1a.c_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.005101405,-0.000115314,0.003736354,-0.004392066,-0.034195289,-0.022319297,-0.001609709,0.000763972,-0.023527631,-0.000330925,0.003598592,-0.014295196,-0.002904122,0.002904122,0.002965959,-0.009438098,-0.036614493,-2.738009895,0.242881847,-0.423819701,-0.010892958
PTVT-T:Y12,30,-0.005808465,4.67E-05,0.003408838,-0.004982834,-0.005216955,0.000203694,-0.001900008,0.0012063,-0.023986273,0.000629242,0.031045002,0.028314651,-0.005026868,0.005026868,0.002707094,-0.009624899,0.028518344,-4.338992212,-0.041442645,-0.93117607,-0.02844097
PTVT-T:Y12,70,-0.006272077,0.000270676,0.001187091,-0.00422803,0.000175692,0.001646982,-0.001900008,0.000707401,-0.026641497,0.000651746,0.033625232,0.030018051,-0.004977281,0.004977281,0.000945371,-0.010708502,0.031665034,-3.900268812,-1.26352663,-1.334166856,-0.031309498
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.005621654,0.000428415,-0.001468874,-0.003032927,-0.012199315,-0.010789141,-0.002189162,-0.000303462,-0.01136074,-0.001079157,0.002804016,-0.001225634,-0.003662804,0.003662804,-0.00118694,-0.004390608,-0.012014775,-1.961469636,-0.88789722,-0.88397164,-0.01467567
PTVT-T:Y12,30,-0.00625146,0.000684014,-0.002638977,-0.002980138,-0.014006889,-0.013181928,-0.002189162,-0.000275209,-0.014298619,-0.000901115,0.002666713,-0.002932791,-0.004045677,0.004045677,-0.00213565,-0.005536163,-0.016114718,-3.185546989,-1.074352195,-1.312437686,-0.029125324
PTVT-T:Y12,70,-0.007003251,0.000783117,-0.003558878,-0.003150356,-0.015069174,-0.014780305,-0.002189162,-0.000205647,-0.020896292,-0.000607795,0.005055243,-0.002466545,-0.004793025,0.004793025,-0.002883498,-0.008124162,-0.01724685,-5.050720632,-2.372135219,-2.158511589,-0.033311307
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.004740176,0.000299604,-0.00043055,-0.002741388,-0.014256469,-0.011539649,-0.002103049,-0.000316026,-0.00782091,-0.001136928,0.00118117,-0.002068157,-0.003674013,0.003674013,-0.000346858,-0.003015802,-0.013607806,-2.280642114,-0.77389149,-0.868319361,-0.014842397
PTVT-T:Y12,30,-0.005503875,0.000508489,-0.001558452,-0.002784119,-0.015416018,-0.013394041,-0.002103049,-0.000313281,-0.010999921,-0.001017878,0.001296055,-0.003499667,-0.003937786,0.003937786,-0.001257324,-0.004250063,-0.016893708,-3.320039445,-0.957793616,-1.262220784,-0.029472395
PTVT-T:Y12,70,-0.006272208,0.000660337,-0.002657094,-0.002922664,-0.015736469,-0.014565632,-0.002103049,-0.00028633,-0.017287073,-0.00068631,0.003626883,-0.002973438,-0.004538776,0.004538776,-0.002146698,-0.006705539,-0.017539071,-4.790020844,-2.122732502,-1.98338878,-0.033667427
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.006066562,0.000832423,-0.004041613,-0.002229898,-0.007762897,-0.009638528,-0.001585478,-0.000254181,-0.017900304,-0.000367362,0.006617137,0.000985731,-0.003753942,0.003753942,-0.003206761,-0.006979867,-0.008652797,-5.035053076,-0.700934709,-1.345562647,-0.019074271
PTVT-T:Y12,30,-0.006674728,0.000962106,-0.003641917,-0.002516118,-0.012896488,-0.013339735,-0.001585478,-8.23E-05,-0.022519693,4.25E-06,0.009296997,0.002745437,-0.005601769,0.005601769,-0.002888163,-0.008806652,-0.010594298,-7.249061988,-0.999956454,-1.904576534,-0.027943342
PTVT-T:Y12,70,-0.007470493,0.001092485,-0.004140255,-0.002686004,-0.016568578,-0.016660297,-0.001585478,-5.09E-05,-0.028533334,0.000254278,0.010981383,0.00214497,-0.006641509,0.006641509,-0.003285438,-0.011200793,-0.014515327,-7.762397196,-1.927315142,-2.380831274,-0.031923595
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.006584562,0.000759649,-0.002843665,-0.002756406,-0.011474955,-0.011475504,-0.001684259,-0.000186846,-0.019781015,-0.000367827,0.006316905,-0.000315957,-0.004116341,0.004116341,-0.002263565,-0.007710237,-0.011791461,-5.299408724,-0.77276057,-1.452416313,-0.023501539
PTVT-T:Y12,30,-0.007052077,0.000930885,-0.003668134,-0.002771131,-0.013138054,-0.013482067,-0.001684259,-0.000142407,-0.02231342,-0.000146974,0.007551515,0.00030246,-0.005039197,0.005039197,-0.002922907,-0.008711175,-0.013179607,-7.096428555,-1.128014748,-1.953538648,-0.031811264
PTVT-T:Y12,70,-0.007832153,0.001082035,-0.004312767,-0.002904469,-0.016203934,-0.01643621,-0.001684259,-9.77E-05,-0.029296572,0.000196135,0.00981765,0.000174126,-0.006098429,0.006098429,-0.003439394,-0.011487877,-0.016262084,-7.746319485,-2.121712427,-2.464299171,-0.036048137
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.006040165,0.000769531,-0.002745108,-0.002557543,-0.010816682,-0.010766687,-0.001709697,-0.000209415,-0.016927526,-0.000390338,0.004385453,-0.00150082,-0.003614332,0.003614332,-0.002211799,-0.006561831,-0.012267507,-5.028511376,-0.753869794,-1.34917965,-0.018282296
PTVT-T:Y12,30,-0.006581208,0.000969502,-0.003297339,-0.002606547,-0.013547033,-0.013358889,-0.001709697,-5.17E-05,-0.021742427,-0.000200677,0.005548494,-0.002089225,-0.004424393,0.004424393,-0.002658622,-0.008453769,-0.015448114,-7.025849234,-1.207223523,-1.916459932,-0.025973538
PTVT-T:Y12,70,-0.00735701,0.001114131,-0.003901466,-0.002719275,-0.015631338,-0.015486032,-0.001709697,-6.65E-05,-0.02661297,8.32E-05,0.007005197,-0.002250827,-0.005189743,0.005189743,-0.003148158,-0.010379243,-0.017736859,-7.817812719,-2.290860103,-2.473409727,-0.029736819
PTVT-T:Y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTVT-T:Y12,15,-0.006388564,0.00076038,-0.002326955,-0.002918325,-0.011983599,-0.011337845,-0.001773962,-0.000151949,-0.018030839,-0.000438835,0.004714129,-0.001580346,-0.003801557,0.003801557,-0.001873542,-0.006993568,-0.012918192,-5.584309779,-0.817863661,-1.530662706,-0.022907615
PTVT-T:Y12,30,-0.006859288,0.000959408,-0.003192837,-0.002863287,-0.013794679,-0.013471532,-0.001773962,-4.19E-05,-0.022336911,-0.000285551,0.005661579,-0.002266932,-0.004406467,0.004406467,-0.002573551,-0.00868718,-0.015738464,-7.63546037,-1.134443881,-2.061279721,-0.031137506
PTVT-T:Y12,70,-0.007633057,0.001154388,-0.004091232,-0.00286193,-0.015306459,-0.015395097,-0.001773962,-0.000127215,-0.026719731,-8.35E-05,0.006854722,-0.002610789,-0.0050373,0.0050373,-0.003301485,-0.01042041,-0.018005886,-8.39098448,-2.133740178,-2.599100967,-0.035120668
