Substrate,Active material,plan_Annealing time [min],plan_Conc. [mg/ml],plan_Spin speed [rpm],features_A.1.c_UV,features_A.1.w_UV,features_A.1a.a_UV,features_A.1a.c_UV,features_ADRatio,features_A_UV,features_Atot_UV,features_D.1.c_UV,features_D.1.w_UV,features_D.1a.a_UV,features_D.1a.c_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV
1,PM6:L8BO,0,32,2000,1.569286859,0.069122419,0.273198365,1.735447269,0.782401199,0.31905733,0.245099319,1.985667799,0.078909012,0.203474447,2.16,0.448499615,0.313265521,0.438959085,0.561040915,0.355635182,0.291312657,0.55836484,72.01323185,21.13176179,13.19848565,0.86731348
1,PM6:L8BO,0,32,2000,1.569316191,0.069537828,0.269657483,1.735940582,0.789032702,0.314891435,0.240784092,1.98593528,0.078756102,0.20261034,2.159999884,0.437441396,0.305163641,0.441038725,0.558961275,0.352651336,0.290434829,0.545947734,72.44311154,20.74406724,13.03393474,0.867330333
1,PM6:L8BO,0,32,2000,1.569529998,0.068886209,0.274056806,1.735339761,0.779573195,0.317493891,0.244170838,1.985744595,0.078823745,0.203870006,2.16,0.448167638,0.31321092,0.438067508,0.561932492,0.356354438,0.291713773,0.557381758,71.48684445,21.02638493,13.02546264,0.866567545
1,PM6:L8BO,0,32,2000,1.569357419,0.069364637,0.272795876,1.735566536,0.782162744,0.315956932,0.242590429,1.985803714,0.078719889,0.204063836,2.16,0.44366963,0.310153393,0.438884017,0.561115983,0.355297397,0.29191016,0.552743823,71.10345856,20.98089682,12.9326374,0.866906636
2,PM6:L8BO,0,30,2000,1.568118168,0.069872695,0.249795997,1.735905137,0.83084554,0.27965766,0.208287906,1.983751756,0.077545566,0.204512794,2.154480174,0.358383576,0.250693897,0.453804279,0.546195721,0.33538848,0.292364623,0.458981802,70.4281108,22.32334015,13.64006349,0.867583285
2,PM6:L8BO,0,30,2000,1.569471203,0.068529683,0.261726606,1.735198985,0.798947171,0.296306343,0.224222893,1.984923944,0.078143653,0.204425943,2.157008064,0.401254718,0.280647959,0.444119307,0.555880693,0.345866795,0.292276752,0.504870853,71.24806359,21.81053585,13.45374562,0.865772547
2,PM6:L8BO,0,30,2000,1.568757631,0.070056199,0.25825519,1.736131786,0.809492227,0.288946293,0.217650295,1.984718867,0.077889772,0.205041768,2.15635917,0.384080823,0.268872618,0.447358776,0.552641224,0.342852188,0.292899334,0.486522913,72.74661854,21.15495352,13.34280593,0.867006359
2,PM6:L8BO,0,30,2000,1.569032787,0.069655951,0.260431804,1.736028086,0.805540902,0.292497049,0.220961573,1.985041156,0.077860795,0.205164323,2.156956905,0.391768198,0.274302115,0.446149351,0.553850649,0.344745618,0.293023103,0.495263688,71.41751617,21.50961479,13.28512817,0.864825276
3,PM6:L8BO,0,28,2000,1.568605118,0.069836182,0.246931776,1.736526298,0.821692174,0.277613087,0.20596997,1.98363151,0.07768652,0.204336058,2.154730496,0.3584337,0.25066561,0.451059837,0.548940163,0.332822752,0.292185789,0.456635581,69.47731327,22.48593092,13.5591662,0.867918802
3,PM6:L8BO,0,28,2000,1.568935358,0.069609359,0.245169828,1.736546547,0.830051704,0.275913166,0.204222601,1.983727477,0.07757785,0.204630047,2.153825323,0.351665856,0.246035999,0.453567351,0.546432649,0.331234561,0.292483218,0.4502586,70.73503975,22.00608068,13.5233422,0.86877384
